fecha	rondas	tirosRonda	cuantil	tirosFinal	tiros_total	tasa_eleccion_correcta	ganancia
20220522 123407	3	90	0.68806252500089	287	13551	0.9056	0.9056
20220522 123407	3	89	0.687106829721151	288	13413	0.9084	0.9084
20220522 123409	3	92	0.584591170318754	277	16936	0.9528	0.839893333333333
20220522 123410	3	92	0.58185761725956	278	16944	0.9528	0.83984
20220522 123410	3	95	0.592245604438564	290	17040	0.9596	0.846
20220522 123450	1	84	0.795314617153961	292	14532	0.9472	0.9472
20220522 123451	1	84	0.799003708739952	492	18240	0.9616	0.84
20220522 123452	1	84	0.800020970489429	706	22520	0.9604	0.810266666666667
20220522 123502	2	83	0.704008712237624	291	13409	0.9358	0.9358
20220522 123502	2	83	0.703882008085354	426	14624	0.9426	0.9426
20220522 123539	1	81	0.788933545116052	138	10998	0.8092	0.8092
20220522 123552	2	70	0.714702008345697	490	12950	0.9044	0.9044
20220522 123552	2	69	0.713711695399922	527	13644	0.9118	0.9118
20220522 123552	2	71	0.705942110201273	472	13478	0.9134	0.9134
20220522 123602	2	158	0.492148281870525	793	44476	0.9994	0.702893333333333
20220522 123646	1	84	0.834720560029735	294	13398	0.9362	0.9362
20220522 123702	2	77	0.706811987581681	594	15356	0.9332	0.830826666666667
20220522 123702	2	78	0.704800914503426	644	15936	0.9304	0.82416
20220522 123702	2	78	0.704046699053972	597	15513	0.933	0.82958
20220522 123702	2	77	0.705300207940125	742	16688	0.9326	0.821346666666667
20220522 123836	3	105	0.693455640229216	222	15471	0.9276	0.82446
20220522 123836	3	105	0.693874176346012	225	15480	0.927	0.8238
20220522 123837	3	105	0.692186772321312	228	15489	0.9226	0.81934
20220522 123837	3	112	0.688679269095963	217	16443	0.942	0.83238
20220522 123837	3	112	0.686643004301623	216	16552	0.9378	0.827453333333333
20220522 123926	1	84	0.805673166864824	328	14960	0.9488	0.9488
20220522 123926	1	84	0.805699208013989	328	14960	0.9526	0.9526
20220522 123926	1	95	0.81089873261306	294	15086	0.956	0.855426666666667
20220522 123954	3	112	0.362219193441989	804	43864	0.9984	0.705973333333333
20220522 124002	4	98	0.386195939377666	785	32648	0.9912	0.773546666666667
20220522 124026	1	11	0.80864100618319	601	12519	0.4218	0.4218
20220522 124030	1	25	0.807517266501729	743	17360	0.6826	0.566866666666667
20220522 124039	1	159	0.713525910501875	464	29356	0.9966	0.800893333333333
20220522 124040	1	178	0.705747416682863	416	30280	0.9936	0.791733333333333
20220522 124048	31	13	0.57105410709727	506	-1	0	0
20220522 124135	1	92	0.807025525724586	401	17220	0.9644	0.8496
20220522 124137	1	120	0.807230390507366	574	23480	0.9888	0.832266666666667
20220522 124138	1	166	0.79073008288841	511	27331	0.9976	0.815393333333333
20220522 124140	1	58	0.637847997811705	946	39856	0.9638	0.698093333333333
20220522 124228	46	36	0.333864896385721	313	-1	0	0
20220522 124311	1	116	0.806051369221493	89	13380	0.0436	0.0436
20220522 124315	1	197	0.818018386858117	75	21125	0	-0.140833333333333
20220522 124317	1	197	0.844970946930754	504	27764	0.998	0.812906666666667
20220522 124336	14	67	0.812703217632996	229	-1	0	0
20220522 124442	14	93	0.278453521515041	445	-1	0	0
20220522 124520	2	71	0.812569334145214	568	10721	0.813	0.813
20220522 124521	2	74	0.811349447223845	507	10834	0.8362	0.8362
20220522 124521	2	68	0.789228364810272	513	10793	0.8432	0.8432
20220522 124528	3	65	0.815002923688405	379	8374	0.6428	0.6428
20220522 124530	3	71	0.812831842271868	471	9204	0.6846	0.6846
20220522 124631	1	66	0.815506257304853	337	13003	0.905	0.905
20220522 124647	2	129	0.809576103879116	938	19103	0.962	0.834646666666667
20220522 124647	2	135	0.808750033930657	966	19929	0.9646	0.83174
20220522 124650	15	36	0.737226895266635	477	-1	0	0
20220522 124657	3	143	0.808711929803294	974	18563	0.9072	0.783446666666667
20220522 124737	1	73	0.807789999865786	301	13320	0.9262	0.9262
20220522 124737	1	85	0.814597844728075	282	13858	0.9376	0.9376
20220522 124738	1	84	0.815722106892576	365	15335	0.9532	0.850966666666667
20220522 124744	44	27	0.797626478936874	575	-1	0	0
20220522 124837	24	71	0.381372113079904	172	-1	0	0
20220522 124933	1	84	0.808972656897381	471	17349	0.9626	0.84694
20220522 124935	1	98	0.840225421793838	707	21112	0.9672	0.826453333333333
20220522 124936	1	120	0.842981530495075	634	22144	0.984	0.836373333333333
20220522 124940	1	134	0.791926880370277	745	29045	0.9962	0.802566666666667
20220522 125010	3	142	0.571821940054842	723	28646	0.9942	0.803226666666667
20220522 125049	1	200	0.411211289447429	56	23304	0	-0.15536
20220522 125056	2	82	0.806414812077265	187	10588	0.864	0.864
20220522 125105	3	80	0.806229106943617	325	10245	0.7516	0.7516
