fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 213007	-0.958593101588666	2290	384	16	5	10317000	89
20220520 213025	-0.999842266264487	5927	922	3	5	8866000	90
20220520 213102	-0.661715448158471	2254	897	20	5	10307000	91
20220520 213139	-0.807222799218539	2170	890	16	5	10307000	92
20220520 213215	-0.671470385306785	2215	899	17	5	10306000	93
20220520 213244	-0.0832806432820742	5741	887	7	5	8991000	94
20220520 213314	-0.056667431998376	7987	1992	13	5	8237000	95
20220520 213351	-0.589494109704985	2221	916	20	5	10296000	96
20220520 213430	-0.837384252060147	2095	817	15	5	10036000	97
20220520 213507	-0.790602723414251	2151	914	15	5	10297000	98
20220520 213549	-0.310768861125219	2202	425	13	5	10212000	99
20220520 213627	-0.810958263700237	2259	439	10	5	10253000	100
20220520 213705	-0.9815627144215	2164	883	16	5	10307000	101
20220520 213742	-0.619468037414445	2281	926	20	5	10268000	102
20220520 213824	-0.998768792986474	2267	399	16	5	10345000	103
20220520 213902	-0.555709401722666	2228	935	20	5	10296000	104
20220520 213940	-0.66119839331657	2170	1018	16	5	9940000	105
20220520 214018	-0.707607617736045	2298	858	16	5	10109000	106
20220520 214035	-0.451122440440647	5902	1357	3	5	8544000	107
20220520 214114	-0.564281432788074	2308	838	20	5	10048000	108
20220520 214133	-0.999554108347443	3099	1540	3	5	8544000	109
20220520 214210	-0.30615974991794	2087	924	20	5	10268000	110
20220520 214249	-0.492919305801599	2290	315	11	5	10191000	111
20220520 214307	-0.784090050245486	4008	1998	3	5	8378000	112
20220520 214344	-0.508996984864735	2147	918	20	5	10295000	113
20220520 214417	-0.179343781534213	4674	2000	20	5	8423000	114
20220520 214454	-0.544570831867245	2945	1472	20	5	8756000	115
20220520 214531	-0.530617612537699	1952	905	12	5	10262000	116
